"model","class","pa","fpr","prec"
"Genus","Ctenopharyngodon",0.674603174603175,0.031331592689295,0.702479338842975
"Genus","Hypophthalmichthys",0.880555555555556,0.0743169398907104,0.823376623376623
"Common_Name","Bighead Carp",0.0769230769230769,0.000792393026941363,0.5
"Common_Name","Grass Carp",0.714285714285714,0.0322019147084421,0.708661417322835
"Common_Name","Silver Carp",0.887608069164265,0.0743534482758621,0.816976127320955
"Family_ACGC","ACGC",0.962962962962963,0.0405576679340938,0.936
"Genus_ACGC","ACGC",0.969135802469136,0.0468948035487959,0.927165354330709
"Common_Name_ACGC","ACGC",0.975308641975309,0.0494296577946768,0.923976608187134
"Common_Name_ACGC_reduced","ACGC",0.975308641975309,0.0494296577946768,0.923976608187134
