"river","site","site_group"
"CDR","CON",1
"DSM","CLF",1
"DSM","EDD",1
"IAR","DNE",1
"IAR","UPE",1
"SKK","DNC",1
"SKK","UPC",1
"DSM","KQA",2
"DSM","MTH",2
"IAR","MTH",2
"SKK","MTH",2
"UMR","DND",2
"UMR","DNI",2
"UMR","DNS",2
"UMR","UPD",2
"UMR","UPI",2
"UMR","UPS",2
"ROC","MTH",3
"UMR","DNR",3
"UMR","DNW",3
"UMR","P15",3
"UMR","P17",3
"UMR","UPR",3
"UMR","UPS",3
"UMR","UPW",3
"WAP","MTH",3
